
instance time incumbent bks
==========Running script at 2025-12-18 20:49:26==========
had14 4.73 2732.0 2724
sko42 23.04 16062.0 15812
lipa20a 7.43 3715.0 3683
bur26g 9.76 10291530.0 10117172
nug12 4.51 582.0 578
nug22 8.08 3660.0 3596
nug16a 5.37 1610.0 1610
nug24 8.75 3488.0 3488
tai25a 9.25 1183690.0 1167256
had18 6.56 5418.0 5358
tai30a 11.49 1853648.0 1818146
ste36c 19.02 8736236.0 8239110
tai15b 5.18 51958141.0 51765268
tai64c 44.81 1855928.0 1855928
esc16h 5.33 996.0 996
tho40 21.68 248484.0 240516
tai150b 354.66 514623769.0 498896643
tai80b 83.14 860761803.0 818415043
chr18a 6.58 11142.0 11098
lipa80a 82.95 256283.0 253195
tai50b 30.58 465128346.0 458821517
lipa60a 40.49 108728.0 107218
bur26a 9.78 5504644.0 5426670
lipa30a 11.49 13408.0 13178
esc16c 5.32 160.0 160
sko100a 136.32 155690.0 152002
wil100 136.49 277530.0 273038
esc16a 5.28 70.0 68
bur26b 9.76 3865027.0 3817852
tho30 11.51 153284.0 149936
rou12 4.56 235528.0 235528
esc16e 5.29 28.0 28
bur26h 9.78 7239702.0 7098658
chr12a 4.54 9552.0 9552
nug21 7.67 2460.0 2438
chr22a 8.15 6754.0 6156
lipa60b 40.44 2520135.0 2520135
scr20 7.45 111136.0 110030
esc32e 12.75 2.0 2
rou20 7.43 730712.0 725522
sko49 29.60 23700.0 23386
tho150 354.66 8380038.0 8133398
chr25a 9.40 5168.0 3796
tai100a 148.17 21633436.0 21052466
nug18 15.58 1938.0 1930
nug14 14.07 1014.0 1014
chr15b 9.09 9156.0 7990
sko72 70.61 67550.0 66256
esc16j 5.41 8.0 8
tai60b 40.73 621994932.0 608215054
els19 7.09 19298846.0 17212548
lipa70a 67.84 171907.0 169755
tai50a 31.62 5082662.0 4938796
nug30 11.67 6182.0 6124
sko81 89.39 93204.0 90998
nug17 6.57 1736.0 1732
sko100b 137.27 157400.0 153890
scr15 5.35 51140.0 51140
esc32g 13.01 6.0 6
nug20 7.61 2584.0 2570
wil50 31.71 49518.0 48816
sko56 42.07 35336.0 34458
lipa20b 11.09 27076.0 27076
kra32 13.07 91750.0 88900
nug28 10.76 5206.0 5166
kra30a 11.79 90890.0 88900
tai30b 11.76 641546392.0 637117113
chr20c 7.58 16162.0 14142
lipa70b 77.85 4603200.0 4603200
bur26d 20.23 3886263.0 3821225
lipa30b 36.80 151426.0 151426
bur26f 30.91 3858677.0 3782044
tai15a 14.12 389718.0 388214
bur26c 35.54 5519209.0 5426795
esc16b 28.16 292.0 292
chr20a 30.81 2260.0 2192
lipa80b 110.92 7763962.0 7763962
had20 29.64 7014.0 6922

==========Running script at 2025-12-18 21:47:49==========
bur26a 9.76 5504644.0 5426670
bur26b 9.76 3865027.0 3817852
bur26c 9.75 5519209.0 5426795
bur26d 9.75 3886263.0 3821225
bur26e 9.75 5506741.0 5386879
bur26f 9.75 3858677.0 3782044
bur26g 9.76 10291530.0 10117172
bur26h 9.76 7239702.0 7098658
chr12a 4.53 9552.0 9552
chr12b 4.52 9742.0 9742
chr12c 4.53 11156.0 11156
chr15a 5.15 10024.0 9896
chr15b 5.15 9156.0 7990
chr15c 5.15 9504.0 9504
chr18a 6.56 11142.0 11098
chr18b 6.58 1534.0 1534
chr20a 7.48 2260.0 2192
chr20b 7.44 2478.0 2298
chr20c 7.50 16162.0 14142
